model_name,cond_id,method,method_kwargs,n,deterministic,mean,sd,ci95_low,ci95_high,ci95_halfwidth,seeds,unit_of_replication,replication_note
densenet121,original,original,{},1,True,0.74438,,,,,1668311071,"one full pass over the 50,000-image ImageNet-1k (ILSVRC-2012) validation split; one replicate = one independent seeded draw of the transform, evaluated on the identical fixed image sequence","deterministic transform; single evaluation is exact, not under-sampled"
densenet121,neuperm,neuperm,{},5,False,0.7443359999999999,3.2863353450295535e-05,0.7442951947571604,0.7443768052428393,4.0805242839477497e-05,1159035215;1505379927;710379668;1530153544;1072396354,"one full pass over the 50,000-image ImageNet-1k (ILSVRC-2012) validation split; one replicate = one independent seeded draw of the transform, evaluated on the identical fixed image sequence",5 independent seeded draws
densenet121,noise_eps_1e-04,noise,{'eps': 0.0001},5,False,0.744052,0.0001926655132606539,0.7438127741684888,0.7442912258315113,0.00023922583151120432,1033326979;1134315557;600593093;1522794050;1347402434,"one full pass over the 50,000-image ImageNet-1k (ILSVRC-2012) validation split; one replicate = one independent seeded draw of the transform, evaluated on the identical fixed image sequence",5 independent seeded draws
densenet121,noise_eps_1e-03,noise,{'eps': 0.001},5,False,0.741464,0.0008678018206941088,0.7403864817216684,0.7425415182783316,0.0010775182783315553,2046996220;1302236619;224559115;1432908175;615704475,"one full pass over the 50,000-image ImageNet-1k (ILSVRC-2012) validation split; one replicate = one independent seeded draw of the transform, evaluated on the identical fixed image sequence",5 independent seeded draws
densenet121,noise_eps_1e-02,noise,{'eps': 0.01},5,False,0.089504,0.04455320280294111,0.03418389207491689,0.1448241079250831,0.05532010792508311,2019531957;1557105050;434110628;1564681137;1018207990,"one full pass over the 50,000-image ImageNet-1k (ILSVRC-2012) validation split; one replicate = one independent seeded draw of the transform, evaluated on the identical fixed image sequence",5 independent seeded draws
densenet121,noise_eps_1e-01,noise,{'eps': 0.1},5,False,0.001,0.0,0.001,0.001,0.0,1230149722;2076594841;158044807;846618742;1773681863,"one full pass over the 50,000-image ImageNet-1k (ILSVRC-2012) validation split; one replicate = one independent seeded draw of the transform, evaluated on the identical fixed image sequence",5 independent seeded draws
densenet121,prune_amount_0.01,prune,{'amount': 0.01},5,False,0.6995959999999999,0.007543134626930646,0.6902299613001359,0.7089620386998639,0.009366038699863983,2118515275;60412781;993247325;1903797141;101977216,"one full pass over the 50,000-image ImageNet-1k (ILSVRC-2012) validation split; one replicate = one independent seeded draw of the transform, evaluated on the identical fixed image sequence",5 independent seeded draws
densenet121,prune_amount_0.05,prune,{'amount': 0.05},5,False,0.3761,0.033684379168985736,0.3342753190840255,0.41792468091597446,0.041824680915974494,1548484175;1576820638;609292176;1849531487;49528409,"one full pass over the 50,000-image ImageNet-1k (ILSVRC-2012) validation split; one replicate = one independent seeded draw of the transform, evaluated on the identical fixed image sequence",5 independent seeded draws
densenet121,quant_2bit_perchannel,quantization,"{'n_bits': 2, 'per_channel': True}",1,True,0.001,,,,,1780220536,"one full pass over the 50,000-image ImageNet-1k (ILSVRC-2012) validation split; one replicate = one independent seeded draw of the transform, evaluated on the identical fixed image sequence","deterministic transform; single evaluation is exact, not under-sampled"
densenet121,quant_4bit_perchannel,quantization,"{'n_bits': 4, 'per_channel': True}",1,True,0.19876,,,,,1975039767,"one full pass over the 50,000-image ImageNet-1k (ILSVRC-2012) validation split; one replicate = one independent seeded draw of the transform, evaluated on the identical fixed image sequence","deterministic transform; single evaluation is exact, not under-sampled"
densenet121,quant_8bit_perchannel,quantization,"{'n_bits': 8, 'per_channel': True}",1,True,0.74342,,,,,318515697,"one full pass over the 50,000-image ImageNet-1k (ILSVRC-2012) validation split; one replicate = one independent seeded draw of the transform, evaluated on the identical fixed image sequence","deterministic transform; single evaluation is exact, not under-sampled"
resnet50,original,original,{},1,True,0.80846,,,,,218186321,"one full pass over the 50,000-image ImageNet-1k (ILSVRC-2012) validation split; one replicate = one independent seeded draw of the transform, evaluated on the identical fixed image sequence","deterministic transform; single evaluation is exact, not under-sampled"
resnet50,neuperm,neuperm,{},5,False,0.8084280000000001,3.0331501776177972e-05,0.8083903384662332,0.8084656615337671,3.766153376693379e-05,289848401;665207100;1711704338;681687863;903648488,"one full pass over the 50,000-image ImageNet-1k (ILSVRC-2012) validation split; one replicate = one independent seeded draw of the transform, evaluated on the identical fixed image sequence",5 independent seeded draws
